english,pt-BR,status,notes
Afternoon Brief,Resumo da tarde,review,
Afternoon briefing,Boletim da tarde,review,
Afternoon check-in,Check-in da tarde,review,
Afternoon energy,Energia da tarde,review,
Afternoon feed,Feed da tarde,review,
Afternoon overview,Visão geral da tarde,review,
Afternoon panel,Painel da tarde,review,
Afternoon report,Relatório da tarde,review,
Afternoon snapshot,Panorama da tarde,review,
Afternoon stage,Etapa da tarde,review,
Afternoon status,Status da tarde,review,
Afternoon summary,Resumo da tarde,review,
Afternoon update,Atualização da tarde,review,
Afternoon view,Visão da tarde,review,
Audio brief,Resumo em áudio,review,
Briefing unavailable.,Boletim indisponível.,review,
Calendar,Calendário,review,
Calendar event,Evento do calendário,review,
Calories goal,Meta de calorias,review,
Contacts,Contatos,review,
Current weather,Clima atual,review,
Customize Now Brief,Personalizar o Now Brief,review,
Daily activity goals,Metas diárias de atividade,review,
Dark mode for settings,Modo escuro das configurações,review,
Edit schedule,Editar programação,review,
Energy mascot,Mascote de energia,review,
Energy score,Pontuação de energia,review,
Evening Brief,Resumo da noite,review,
Evening brief,Resumo da noite,review,
Evening briefing,Boletim da noite,review,
Evening check-in,Check-in da noite,review,
Evening feed,Feed da noite,review,
Evening overview,Visão geral da noite,review,
Evening report,Relatório da noite,review,
Evening status,Status da noite,review,
Evening summary,Resumo da noite,review,
Evening update,Atualização da noite,review,
Fitness goals,Metas de atividade física,review,
Gradually build up briefings,Aumentar os boletins gradualmente,review,
Good afternoon,Boa tarde,review,
Good evening,Boa noite,review,
Good morning,Bom dia,review,
Late night briefing,Boletim da madrugada,review,
Late night recap,Resumo da madrugada,review,
Morning Brief,Resumo da manhã,review,
Morning brief,Resumo da manhã,review,
Morning briefing,Boletim da manhã,review,
Morning check-in,Check-in da manhã,review,
Morning feed,Feed da manhã,review,
Morning overview,Visão geral da manhã,review,
Morning report,Relatório da manhã,review,
Morning status,Status da manhã,review,
Morning summary,Resumo da manhã,review,
Morning update,Atualização da manhã,review,
News,Notícias,review,
Night briefing,Boletim da noite,review,
Night check-in,Check-in da noite,review,
Night summary,Resumo da noite,review,
Schedule,Programação,review,
Sleep, Sono,review,
